Name, Target, Anger, Disgust, Fear, Joy, Sadness, Analytical, Confident, Tentative, Openness, Conscientiousness, Extraversion, Agreeableness, Emotional Range
0_2.txt, neg, 0.662947, 0.387744, 0.52509, 0.023769, 0.498816, 0.33, 0.0, 0.319, 0.235, 0.369, 0.671, 0.805, 0.641
100_4.txt, neg, 0.626379, 0.357876, 0.435368, 0.023826, 0.305215, 0.975, 0.0, 0.933, 0.583, 0.115, 0.289, 0.373, 0.902
10_3.txt, neg, 0.975012, 0.053042, 0.049358, 0.051346, 0.078318, 0.57, 0.0, 0.435, 0.365, 0.092, 0.607, 0.555, 0.826
11_3.txt, neg, 0.395323, 0.123408, 0.119122, 0.057024, 0.394399, 0.518, 0.0, 0.808, 0.459, 0.051, 0.763, 0.691, 0.796
12_4.txt, neg, 0.533116, 0.362171, 0.082265, 0.039535, 0.355911, 0.228, 0.0, 0.5, 0.339, 0.087, 0.798, 0.633, 0.76
13_1.txt, neg, 0.275657, 0.593517, 0.309243, 0.023987, 0.156559, 0.274, 0.0, 0.42, 0.147, 0.397, 0.911, 0.922, 0.377
14_1.txt, neg, 0.690311, 0.34712, 0.314139, 0.029065, 0.203146, 0.155, 0.0, 0.543, 0.515, 0.094, 0.535, 0.453, 0.882
15_2.txt, neg, 0.857427, 0.341363, 0.420041, 0.035183, 0.093924, 0.816, 0.0, 0.666, 0.708, 0.222, 0.23, 0.161, 0.844
16_1.txt, neg, 0.486776, 0.259744, 0.175395, 0.032461, 0.223981, 0.739, 0.0, 0.822, 0.121, 0.08, 0.68, 0.72, 0.929
17_3.txt, neg, 0.84322, 0.250192, 0.088074, 0.031793, 0.223903, 0.87, 0.0, 0.096, 0.396, 0.236, 0.458, 0.665, 0.891
18_1.txt, neg, 0.993095, 0.479754, 0.388316, 0.035553, 0.043392, 0.372, 0.0, 0.205, 0.566, 0.152, 0.467, 0.246, 0.746
